Timestamp,SI
1742053474.9997907,0.680327868852459
1742053476.0237906,0.6885245901639344
1742053477.0477908,0.6885245901639344
1742053478.0717907,0.6885245901639344
1742053479.0957906,0.6885245901639344
1742053480.1197908,0.6885245901639344
1742053481.1437907,0.680327868852459
1742053482.1677907,0.680327868852459
1742053483.1917908,0.6721311475409836
1742053484.2157907,0.6721311475409836
1742053485.2397907,0.6721311475409836
1742053486.2637906,0.6721311475409836
1742053487.2877908,0.6721311475409836
1742053488.3117907,0.680327868852459
1742053489.3357906,0.680327868852459
1742053490.3597908,0.680327868852459
1742053491.3837907,0.680327868852459
1742053492.4077907,0.680327868852459
1742053493.4317906,0.680327868852459
1742053494.4557908,0.680327868852459
1742053495.4797907,0.6721311475409836
1742053496.5037906,0.6721311475409836
1742053497.5277908,0.6721311475409836
1742053498.5517907,0.6721311475409836
1742053499.5757906,0.680327868852459
1742053500.5997908,0.680327868852459
1742053501.6237907,0.680327868852459
1742053502.6477907,0.6885245901639344
1742053503.6717906,0.6885245901639344
1742053504.6957908,0.6885245901639344
1742053505.7197907,0.6885245901639344
1742053506.7437906,0.680327868852459
1742053507.7677908,0.680327868852459
1742053508.7917907,0.680327868852459
1742053509.8157907,0.680327868852459
1742053510.8397908,0.6721311475409836
1742053511.8637908,0.6721311475409836
1742053512.8877907,0.6721311475409836
1742053513.9117906,0.6721311475409836
1742053514.9357908,0.6721311475409836
1742053515.9597907,0.680327868852459
1742053516.9837906,0.680327868852459
1742053518.0077908,0.680327868852459
1742053519.0317907,0.680327868852459
1742053520.0557907,0.680327868852459
1742053521.0797906,0.680327868852459
1742053522.1037908,0.6721311475409836
1742053523.1277907,0.6721311475409836
1742053524.1517906,0.6721311475409836
1742053525.1757908,0.6639344262295082
1742053526.1997907,0.6639344262295082
1742053527.2237906,0.6557377049180327
1742053528.2477908,0.6557377049180327
1742053529.2717907,0.6557377049180327
1742053530.2957907,0.6639344262295082
1742053531.3197906,0.6639344262295082
1742053532.3437908,0.6639344262295082
1742053533.3677907,0.6639344262295082
1742053534.3917906,0.6639344262295082
1742053535.4157908,0.6639344262295082
1742053536.4397907,0.6639344262295082
1742053537.4637907,0.6639344262295082
1742053538.4877906,0.6557377049180327
1742053539.5117908,0.6557377049180327
1742053540.5357907,0.6557377049180327
1742053541.5597906,0.6557377049180327
1742053542.5837908,0.6557377049180327
1742053543.6077907,0.6557377049180327
1742053544.6317906,0.6557377049180327
1742053545.6557908,0.6557377049180327
1742053546.6797907,0.6557377049180327
1742053547.7037907,0.6557377049180327
1742053548.7277906,0.6475409836065574
1742053549.7517908,0.639344262295082
1742053550.7757907,0.639344262295082
1742053551.7997906,0.639344262295082
1742053552.8237908,0.639344262295082
1742053553.8477907,0.639344262295082
1742053554.8717906,0.639344262295082
1742053555.8957908,0.639344262295082
1742053556.9197907,0.639344262295082
1742053557.9437907,0.6475409836065574
1742053558.9677906,0.6475409836065574
1742053559.9917908,0.6475409836065574
1742053561.0157907,0.6475409836065574
1742053562.0397906,0.6475409836065574
1742053563.0637908,0.6557377049180327
1742053564.0877907,0.6557377049180327
1742053565.1117907,0.6557377049180327
1742053566.1357906,0.6557377049180327
1742053567.1597908,0.6639344262295082
1742053568.1837907,0.6639344262295082
1742053569.2077906,0.6639344262295082
1742053570.2317908,0.6639344262295082
1742053571.2557907,0.6639344262295082
1742053572.2797906,0.6639344262295082
1742053573.3037908,0.6639344262295082
1742053574.3277907,0.6639344262295082
1742053575.3517907,0.6557377049180327
1742053576.3757906,0.6639344262295082
1742053577.3997908,0.6639344262295082
1742053578.4237907,0.6639344262295082
